,Question,reponse,type
1008,انا خامل في الشهر السادس و اعاني من كحة شديده مع بلغم كثير و الم في الصدر اجريت مسحة pcr و كانت سلبيه و ذهبت لدكتور صدريه شخصه انه التهاب حاد في الشعب الهوائية و اخدت emoxclove 1 gm و allvent للكحة و لكن للتحسن ضعيف و الم الضلع الايسر اصبح لا يحتمل مع العلم اني اتابع نسبه الاوكسجين و لا يوجد مشكله,هل لديك صفير؟ هل جاءتك هذه الاعراض سابقا؟ هذا يمكن ان يكون ازمة ربو لان الحمل يمكن ان يتسبب في هيجان الربو ! وخاصة اذا لم تاخذي الدواء المناسب. من الافضل الاتصال بطبيبك و تقولي له ان الدواء غير فعال حتى يتثبت ان كان ربو او شيءا اخر. لان السعال القوي يمكن ان يؤدي حتى الى كسر الاضلع (يتسبب في اوجاع في الصدر...),أمراض الجهاز التنفسي
1009,أمي تعاني من الربو .. ولها شهر عندها كحه ماتتوقف تاخذ علاجات وبخاخات وبخار أكسجين .. لكن مستمر وماتنام منه .. ولها يومين تتبخر بماء دافي ومرهم أبو فاس هل له ضرر عليها ؟!,عليك اعادة زياة طبيبك فيمكن ان تكون ازمة ربو لان الحمل يحير الحساسية خاصة اذا كنت تعاني من قبل من تحسس انفي او في الصدر,أمراض الجهاز التنفسي
1010,يادكتور انا عندي سعال شديد وعندما اسعل اشعر بألم اعلى المعدة وفي صدري والكحة شديدة جداً ايش افضل شراب لمثل هذه الحالة ؟,انت من الممكن تعاني من ارتجاع في المري خاصة اذا لديك حرقة في الحلق، البلعوم ... هل لديك صفير في الصدر ؟ يمكن ان يكون ربو ايضا . من الافضل الكشف و قيس التنفس او الجهد للتاكد,أمراض الجهاز التنفسي
1011,هذه الفترة اعاني من سعال جااف شديد وضيق في التنفس مع صفير شديد بالاخص اثناء الليل عند النوم لا انام بالليل من شدة السعال والصفير مع ضيق تنفس,الصفير وضيق التنفس هو مأشر على انك تعاني من الربو. عليك الكشف و قيس التنفس للتاكد واخذ الادوية اللازمة لكي لا تتحول الى ازمة ربو,أمراض الجهاز التنفسي
1012,اعاني من سعال من 7 شهور تقريبا باخر 3 شهور زادت الاعراض مثل ضيق في التنفس وضيق في الصدر وبلغم كثيف باخر فتره حاليا اتناول المقشعات وادويه الحساسيه والالتهابات والمضادات (بندول /اموكلان / هيستازون ),هذه الاعراض يمكن ان تكون ناتجة عن عديد الامراض مثل الربو الحساسية و توسع القصبات الرئوية ... عليك الكشف و قيس التنفس الجهد لمعرفة السبب واخذ الدواء اللازم,أمراض الجهاز التنفسي
1013,ضيق بالنفس واحيانا اكعد من النوم بالليل ما اعرف عندي ربو لو لا,هذا محتمل عليك الكشف و قيس التنفس او الجهد لمعرفة ذلك واخذ الدواء المناسب,أمراض الجهاز التنفسي
1014,منذ تقريبا ثمانية اشهر صار عندي ضيق التنفس مع بلغم لكن مع مرور الوقت انتهى الضيق لكن البلغم لساته موجود وبلاعيم مورمات وهلا احنه موسم الشتاء فيولمني دكتور قال مهما كان حجم الوزتين كبير عادي مع العلم الحاله صارت عندما تعرضت للتوتر وقلق خلال فتره الامتحانات وانا جدا خائفه وشكرا جزيلا,عليك السلام. الضيق يمكن ان يكون ماشر ربو. اما بالنسبة لانتفاخ البلعوم يمكن ان يكون حساسية او ارتجاع في المريء . لذلك عليك الكشف عند دكتور صدرية و حساسية لقيس التنفس و القيام بالفحوصات اللازمة,أمراض الجهاز التنفسي
1015,صعوبة في التنفس... مع اخذ النفس بصعوبة و الشعور بضيق في الصدر.. بدون وجود اعراض مرضية اخرى,ضيق التنفس عند اخذ النفس اي الشهيق هو في العادة ناتج عن مشكل في الجهاز التنفسي العلوي... من الافضل الكشف سريعا اذا ضيق التنفس قوي او مصحوب بزروقة في الوجه او احساس قوي في نبضات القلب. وذلك لاخذ الدواء الازم و قيس التنفس...,أمراض الجهاز التنفسي
1016,الم شديد في الصدر واعلى الظهر منذ يومين يشتد سوءاً وكحه خفيفه وضيق تنفس وصوت صفير واشعر بكتله اذا بلعت,الاغلب لديك ربو او asthma. عليك الكشف و قيس التنفس للتاكد.,أمراض الجهاز التنفسي
1017,التشخيص التولي للحاله اصابه قديمه في الأنف أدت الى كسرور في عظام الأنف والحاجز الأنفي وانسداد شديد وصعوبة في النفس مرفق لكم صورة من تقرير الإشاعة المقطعية السوال هو هل عملية عادة بناء الأنف والحاجز الأنفي. من الضروري استئصال كلي للقرنيات الأنف السفلية ولماذا يتم استئصالهم,الصور غير موجودة. في حالة انسداد مزمن للانف في حال فشل محاولة مداويته بالادوية نمر الى العملية. الاستاصال يختلف حسب الانسداد الذي يرآه الطبيب بالمنضار ...,أمراض الجهاز التنفسي
1018,"حراره اول يوم ٣٩
كحه وضيق تنفس
زكام والام بالجسم",تستطيعين اخذ المسكنات اذا ليس لديك امراض كبد او كلى و بعض الفيتامينات. ولكن عليك الكشف لان ضيق التنفس و الكحة يستطيعوا ان يكونا خطرا على صحتكما. و على طبيبك ان يقيم هل عليك اخذ دواء مسيل للدم...,أمراض الجهاز التنفسي
1019,"تنفس اصطناعي وغيبوبةدامت احدى عشر يوم.ووجود ماء في الرءتين مع العلم انه يدخن.
هل هناك نسبة شفاء المريض مع العلم انه يبلغ 72عاما.من فضلكم ننتظر الرد وجزاكم الله خيرا.
:",حسب ما تقوله حالته حرجة يبقى هل هي مستقرة ام لا ولذلك من الافضل ان تسأل طبببه المباشر. ١١ يوم هنالك امل ولو ضئيل. اتمنا له الشفاء,أمراض الجهاز التنفسي
1020,كنت أعاني من البرد و هناك كحة قوية تسببت بالم في جانبي الايمين من المعدة و إستيقظت البارحة على ألم قوي في قفصي الصدري من الجهة اليسرى في ضلوعي ، الأن لا اقدر على الكحة او الضحك حتى النوم بشكل طبيعي يؤلمني ف ماذا أفعل؟,عليك القيام بالكشف و صورة على صدرك يمكن ان يكون هواء في الصفاق الرئوي. في هذه الحالة يقوم الطبيب باخراجه عن طريق انبوب... يمكن ان يكون كسر في العضام او تمزق عضلي من كثر السعال (في هذه الحالة يعطيك مسكن الام مع راحة...),أمراض الجهاز التنفسي
1021,اسلام عليكم بعد اذن انا لم كنت بعمر 6 سنين كان اجاني مرض سل أحمد الله اتشفيت لاكن بعد لماصار عمري 24 سنة صارلي مشكل اني بدأت تجني كح قوية صرة كح بدون توقف خصوصا لم احاول,يمكن ان يعود السل خاصة مع ضعف المناعة و يمكن ان يكون مرض اخر عليك الكشف و القيام بالصور و التحاليل اللازمة لمعرفة السبب الحقيقي,أمراض الجهاز التنفسي
1022,"انا مدخن منذ ١٠ سنوات بنسبة ٢٠ سيجارة يوميا على مدار ١٠ سنوات
اذا اقلعت عن التخدين ماهو المنحنى الزمني لتعود الرئة الى لونها الطبيعي وتكون خالية تمام من قطران السجائر؟",على الاقل ٥ سنوات لكي تنضف الرئة نفسها. انا اشجعك. ابتعد عن العصبية و التوتر لكي لا ترجع الى التدخين,أمراض الجهاز التنفسي
1023,اشعر بثقل في للصدر وعند خروج البلغم اشعر بالراحه. واقلعت عن التدخين منذ اكثر من ثلاثة اسابيع,الرئة تنظف في الدخان القديم. برافو انا اشجعك على مواصلة الاقلاع عن التدخين. يجب الابتعاد عن الضغوطات و تتعلم مواجهت المشاكل من دون تدخين. لكي لا ترجع,أمراض الجهاز التنفسي
1024,قبل قليل قمت بحرق منديل واستنشقت اول دخان خرج منه دون قصد كان الدخان الذي استنشقته ثقيل ومركز و لكن بكميه قليله ولم اشعر بايه اعراض غير الم متوسط منطقه الصدر لا أعرف اين بالتحديد (في الرئه اوالقلب) وهذا كان قبل1ساعه ومازال الالم مستمر بشكل بسيط هل من الممكن أن يزيد الالم فجأه بشكل قوي؟,اذا الالم مستمر او قوي او معه ضيق تنفس فعليك الذهاب الى الاستعجالي فورا. وكذلك اذا كانت مدة الاستنشاق اكثر من نصف ساعة. اما اذا الاوجاع خفيفة و ناتجة عن كحة شديدة فهذا يمكن ان يكون شد عضلي وعندها تاخذين مسكنات اوجاع كافي.,أمراض الجهاز التنفسي
1025,"هل يجوز تناول مضادات بلغم متل امبراكسول لمريض الرجفان الاذيني ؟
علما ان المريض مستمر بتناول الديجوكسين ويعاني من الصدفية ايضا",تستطيع اخذه اذا ليس هناك حساسية لمكوناته، و تجنبه في حالة قصور في التنفس. عليك شرب كثير من الماء ايضا لاخراج البلغم. و عليك الكشف لمعرفة السبب لهذا البلغم واخذ الدواء اللازم... فادوية التي تساعد في اخراج البلغم غير كافية,أمراض الجهاز التنفسي
1026,"السلام عليكم ورحمة الله وبركاته
اعاني من مرض الربو منذ زمن واستخدم شفاط سيمبثي كورت
واصبت بفايروس كورونا هل استمر في اخذ هذا الدواء أم أتوقف.؟
شكرًا","نعم مع الأدوية الموصوفة بالبروتوكول
والمتابعة مع طبيب الصدرية المعالج
سلامتك",أمراض الجهاز التنفسي
1027,مصاب جديد كورونا واعاني من سكري وكسل غده درقيه ونبضه هاجره ....طبيعة العلاج ..علما اللكسجين كان 96وصوره ال XRay ممتازه,"الانتباه للتحاليل المخبرية المطلوبة في الكورونا ومهم جدا في اي يوم من الإصابة
الفحص السريري ..فحص الصدر
التمارين التنفسية ...الاستلقاء البطني ... السوائل ...الأدوية الموصوفة من قبل
اختصاصي الصدرية
سلامتك",أمراض الجهاز التنفسي
1028,عندما اتكلم يخرج الكلام منخفض جدا و اشعر بضيق في التنفس عند المشي و الم في الصدر اجريت صورة للصدر نظيفة,هذه الاعراض تستطيع ان تكون ناتجة عن عديد من الاشياء مشكل في الاحبال الصوتية، ربو، حساسية. من الافضل الكشف ثم القيام بقيس التنفس و الكشف بالمنظار للقصبات الهوائية لتشخيص...,أمراض الجهاز التنفسي
1029,كنت باخد أدوية كلير اير 10 و ايفاستين و الڤنتيرن علشان الالتهابات دلوقتي انا اتجوزت وان شاء الله اكون حامل وخايفه اخد ادويه حساسية وحاليا انا مش قادرة اتنفس كويس اعمل ايه,"راجعي طبيب صدرية في منطقتك
لتقييم وضعك الصحي وإعطاء العلاج اللازم والمفيد دون ضرر للجنين",أمراض الجهاز التنفسي
1030,اريد معرفة نتيجة التحليل هل هي طبيعية ام لا,هذه تحاليل 1 الجلطة القلبية و 2 الجلطة الرئوية. تحاليلك سليمة,أمراض الجهاز التنفسي
1031,احس بكتمه وضيق تنفس وقد نويت على عمليه جراحيه بعد استعمال بخاخات كثيرة ولم ينفع وهل العمليه لها تأثير ايجابي على حساسيه الصدر,في بعض الحالات نعم خاصة اذا لديك عديد العوارض في الانف خاصة الانسداد الذي لا يتحسن بالادوية. هناك ايضا ادوية لانقاص التحسس ولكن عليك القيام بتحليل الحساسية الجلدي لمعرفة نوع الحساسية...,أمراض الجهاز التنفسي
1032,السلام عليكم اعاني من ضيق في التنفس منذ ٣اشهر مستمر وعدم المقدرة على اخذ نفس عميق والزفير بقوه وتشوش في الرؤية والنسيان والتنهد عند اخذ نفس عميق والتثاؤب الكثير وعدم التركيز,يجب عليك قيس التنفس لمعرفة السبب. لان الهلع لا ينقص في الاكسجين في الدم!!! اذا الصورة السينية عادية عليك القيام بمسح اشعاهي للصدر و اوعية الرئة بعد ذلك اذا لم تضهر شيء ربما يلزمك كشف بالمنضار الرئوي..,أمراض الجهاز التنفسي
1033,"يعطيكم العافية
بدي اسأل هل الانافرانيل يسبب ضيق تنفس
لإنه زادلي الجرعة الطبيب لحد 225 ملغ وبالاصل عندي ربو",في العادة انافرانيل لا يتسبب في ظيق تنفس عند الكبار. الا اذا كان مصحوب بأدوية اخرى. من الافضل استشارت طبيبك عاجلا لانه يمكن ان يكون لديه تسمم دوائي. ولا توقفي عن الدواء الانافرانيل من تلقاء نفسك و خاصة بصفة فجائية. لان عند التوقف عن اخذه بهذه الصفة يستطيع ان يقوي ضيق التنفس!!!,أمراض الجهاز التنفسي
1034,اعاني في بعض الاوقات من ضيق في التنفس وعملت صورة اشعة للصدر والطبيب أخبرني انني اعاني من التهاب قصبات,الصورة غير كاملة... بالنسبة لالتهاب القصبات يمكن ان يكون ناتج عن فيروس او ربو. عليك قيس التنفس للتفرقة بينهما خاصة اذا تكرر او طال ضيق التنفس و الكحة...,أمراض الجهاز التنفسي
1035,كنت اعاني من الدرن الرئوي اكتشفته في البداية اصاب جزء بسيط من الرئة اليسري مع العلم : لم اصل لمرحلة البصاق المدمم و انتهيت من العلاج اليوم 10/1/2022 بعد 6 اشهر هل يترك اثر علي الرئة ام تعود طبيعية هل يجب ان اجري تحاليل فيتامين او معادن تاثرت بالعلاج لاني اشعر بخمول و ارهاق,ايقاف الدواء يقع بعد التاكد من سلبية التحاليل البلغم و تاكد من تعافي بصورة. في بعض الحالات الجرثومة تقاوم اكثر و تبقى في الرئة لذلك مدة التداوي تدوم على الاقل و في الاغلب 6 اشهر. بالنسبة للارق و التعب عادتا يختفوا بعد اقل من شهر من التداوي. عليك قيام بتحاليل الكبد.. لمعرفة ان كان من مخلفات الدواء... في بعض الاحيان نقص فيتامينات ب يكون السبب في هذه عليك اخذ فيتامينات ب خاصة ب6,أمراض الجهاز التنفسي
1036,أعاني من سعال جاف وحرقان شديد في المعدة وصعوبة في ادخال الهواء الرئتين بعد إجراءات الفحص عند الطبيب وجدت حساسية القصبات الهوائية لكن مازلت أعاني خاصة بعد الوضوء سعال كل السنة,ممن الاغلب انك تعاني ايضا من ارتداد في المعدة الى البلعوم. عليك اخذ الدواء التردد بعد التاكد من سلامة الكبد بتحاليل,أمراض الجهاز التنفسي
1037,ضيق في التنفس مع سعال قوي يخرج معه دم وصعوبه في التنفس وصفير,هل سعال جاد ياتي بعده الدم؟ عند السعال المتكرر و القوي يمكن ان يجرح الحلق. اما بالنسبة للعواض الاخرى فانك تعاني في الاغلب من الربو. عليك استشارت طبيب و قيس التنفس للتاكد,أمراض الجهاز التنفسي
1038,دكتور انا مريضة ربو. فمي يجف و احس بالرجفان ليلا. اخذ البخاخات و المضادات الحيوية. ملاحظة منذ شهرين و أنا على هاذ الحال,بعد استعمال البخاخات قم بالمضمضة و الغرغرة بالماء ثم قم ببصاقه. من الافضل اتصال بطبيبك كي ينقص لك نوع من البخاخات لا تقفي وحدك عنهم كي لا تاتيك ازمة ربو.,أمراض الجهاز التنفسي
1039,امي تعاني من تليف رئه والاخري مصابه ببعض التلف فعند وضع الاكسجين تصل النسبه الي 95 وعند رفع الاكسجين تنزل اقل من70 مع العلم ان الدكتور في العىايه المتوسطه في المستشفي قال لي ان تخرج وتضعها علي جهاز الاكسجين في المنزل وساكتب الادويه هل المنزل ام المستشفي افضل مع توضيح خطوره الحاله,امك لا تستطيع البقاء الى لا نهاية في المستشفى. التليف الرئوي يتسبب في قصور في التنفس. في درجات معينة يصبح المريض لا يستطيع التنفس جيدا الا بالة الاكسجين. يمكن ان تبقى بها مدى الحيات ويمكن ان تتحسن و هذا مرتبط بنسبة التليف و الالتهاب الرئوي,أمراض الجهاز التنفسي
1040,"اشعر بالم منذ ثلاثة اشهر في منتصف الصدر قرب الجهة اليمنى كلما اشعر بالبرد و عند الضغط عليه احس بالم كذلك مع العلم اني قمت بالفحص بالصدى عند طبيبة الجهاز التنفسي و كان الفحص سليما .
مع العلم اني اعاني من الارق و التوتر الشديد و كذلك التعرق و لكن اظن ان الم الصدر امر منفصل و الله أعلم .",منذ متى هذه الاعراض؟ اذا عندك اكثر من شهر والاوجاع متواصلة كامل اليوم. فعليك القيام بصورة على الصدر. فيمكن ان يكون سل (يعطي اوجاع مع ارق تعرق خاصة في الليل نقص الشاهية و نقص في الوزن. اما اذا كانت اوجاع غير قارة فيمكن ان تكون شد عضلي. من الافضل القيام بصورة على الصدر,أمراض الجهاز التنفسي
1041,اعاني من تحسس في الصدر وكذالك الظهور المستمر للبثور والحبوب في الجسم وعندما فحصت الدم طلع نسبة الخلايا الحمضية مرتفع 29.5mpt/l هل لهاذا الارتفاع علاقة بالاعراض التي لدي.,بعض انواع الحساسية يرتفع فيهم عدد ال eosinophil. وكذلك امراض اخرى يرتفع فيها عددهم خاصة امراض الطفيلية، امراض الدم... للتفرقة بينهم هناك تحاليل اخرى موجهة حسب اعراضك و كذلك اذا انخفض عددهم بالدواء فهذا الارتفاع ناتج عن الحساسية,أمراض الجهاز التنفسي
1042,انا azmatique وكنت اعالج عندى يومين اشعر بحرقة فى صدرى والم طفيف فى اذنى وصعوبة قليلة فى تنفس عند المشى فقط,يجب اخذ دواءك لكي لا يتحول asthma الى فدة يصعب مداواتها. وعليك القيام بتحليل كورونا و اخذ الادوية اللازمة,أمراض الجهاز التنفسي
1043,"السلام عليكم
قبل اسبوع اصبت بالتهاب اللوزتين وهذا ادى الى حمى في الجانب الايسر من وجهي بالتحديد فوق عيني
ولكن بعد ان شفيت الحمدلله
اصبحت تحصل لي رعشة او رعدة دائمة فوق حاجبي الايسر
هل هذا يعني ان بعض الوظائف تعطلت او عضلات فسدت بسبب الحمى",هل تستطيعين اغماض عينك اليسرى. اذا لا فهذا يعني انه يمكن ان يكون شلل وجهي نصفي في هذه الحال يجب الكشف لكي تاخذي الدواء و لا يصبح شلل وجهي دائم,أمراض الجهاز التنفسي
1044,السلام عليكم ..ما المدئ الطبية الصحيحه للستخدام قطرات فينستال لطفل عمر 2شهر يعني من تحسس فط القصبات الهوائية,هذا الدواء من المفضل لا ياخذ الا بعد عمر ١ عام. الا اذا وصفه لك طبيب. لا تاخذيه بمفردك!!! المدة تتغير حسب نوعية الحساسية و قوتها. يمكن ان تكون مدة قصيرة بعض الاشهر الى اكثر من سنة. من افضل استشارة طبيبك لانه ادرى بحالة صغيرك.,أمراض الجهاز التنفسي
1045,كان التهاب في الصدر وتشفا منه لا اعراض لاكن باكر موعد وتصلت بينا وقالت ان به جرثومه برئه ناتي ضروري باكر لانه ستعمل فحوصات واشعه وخائف اذا بي غير الجرثومه ولماذا اشعه وفحوصات,هل قمت بتحاليل ؟ ربما على ضوء التحاليل هناك شك في وجود جرثومة. هناك انواع من الجراثيم تختفي على وقع المناعة لذلك ليس لديك اعراض حاليا. الاشعة تضهر اذا الجرثومة في سبات او نشيطة,أمراض الجهاز التنفسي
1046,انا مريضة بحساسية الصدر و احيانا حين استعمل بخاخات الربو تحصل عندي غازات في البطن مؤخرا ازدادت عصبيتي أصبحت لا أتحكم في أعصابي فهل هذا أمر طبيعي,"لا هذا غير طبيعي. عليك ان تاخذ دواء لذلك حتى لا تتحول هذه "" العصبية"" الى مرض نفسي دائم",أمراض الجهاز التنفسي
1047,"السلام عليكم ورحمة الله
أرجو منكم التكرم علي باخباري عن البروتوكول العلاجي المعتمد لفايروس كورونا أثناء الحمل
مع العلم اني صيدلاني وحابب اتعلم منكم
عندي مصابة حامل بالشهر ٨",العلاج يختلف حسب الاعراض. من ابسط تنظيف الانف الى استعمال اقوى الادوية مع الحذر من المظاعفات الجانبية ولكن نضطر لاستعمالها لان في بعض الحالات يكون حالات خطيرة تهدد الطفل و الام,أمراض الجهاز التنفسي
1048,السلام عليكم أمي تستخدم بخاخات ربو 2 واحد لونه موف والثاني لونه تركوازي .. والأن لها 20 يوم ملازمتها الكحه .. هل تكثف البخ باليوم اكثر من مره او تستخدم شراب كحه ؟!,استعمال شراب الكحة عند مرضى الربو خطير. فيمكن ان يتسبب لها بتعطل في النفس. يجب ان تعرف سبب هذه الكحة و اعطائها الدواء اللازم.,أمراض الجهاز التنفسي
1049,السلام عليكم ، لدي صديق عمره 19،كل ما شعر بأعراض الزكام الموسمي اخذ له مضاد حيوي ميجاموكس 1 جرام كل 12 ساعة ، نظرًا لوصف الأطباء له بمضاد حيوي مثل هذه الجرعة قديمًا ، سؤالي هل فعًلا اخذ المضاد الحيوي مفيد للزكام ، واذا كان ضار ما هي الجرعة الضارة،وهل يجب ان يتوقف ام لا؟ ولكم جزيل الشكر .,الزكام الموسمي ناتج عادة عن فيروس. والمضادات الحيوية غير فعالة عليهم. ربما كان عنده ذبحة لوزبة. استعمال المظادات الحيوية بكثرة ينقص من فاعليتها لاحقا. لذلك يجب اخذها الا في حالة عفن بكتيري.للاسف اخذ الادوية من غير استشارت الطبيب هي عادئة سيئة في مجتمعنا,أمراض الجهاز التنفسي
1050,Paralysie du membre inferieur et superieur ضيق تتفس ونقص الاوكسجين,هو مرض يصيب الخلايا العصبية الطرفية يسبب ضرر على الغشاء المحيط بها بما يسبب تعطل الوظائف العصبية على المدى البعيد,مرض السكري
1051,السلام عليكم عمري 19لدي مرض السكري ضهر انتفاخ لاصبعي الوسطى من الجهه العليا لاول مره مع الم هل يحتاج الى طبيب ام لا؟!,أكيد تحتاجين لمراجعةالطبيب .قد يكون رض بسيط على الأصبع او بداية قدم سكرية .و لاتنسي ضبط السكر بشكل صارم حبذا لو أرسلتي لي صورة القدم,مرض السكري
1052,"السلام عليكم ورحمه الله وبركاته
اعاني من كثرة التبول ليلا حيث أذهب الى الحمام اربع مرات مع حفاف الفم ليلا وعند الاستيقاظ من النوم...عنلت تحاليل السكر ..وكانت القراءات صائم ..97..104..94..105...98..102...ونسبة التراكمي 5.47..
فهل انا مصاب بالسكري...ولماذا هذه الاعراض اءا كنت غير مصاب بالسكري",أخي الكريم لا يوجد لديك مرض السكري ، لذلك دعنا نبحث سويةً عن أسباب أخرى لأعراضك :قديكون انتان بولي إذا ترافقت أعراضك مع حرقة بولية و ألم أثناء التبول و تغير لون البول قليلاً للعكر  ( يجب إجراء فحص بول ).قد يكون بيلة تفهة إذا ترافقت أعراضك مع كثرة تبول ليلي نهاري مع تبول كميات بول كبيرة تفوق ال 4 لتر يومياً مع عطش شديد و رغبة ملحة بشرب الماء البارد و المثلج ( يجب إجراء عيار شوارد صوديوم و بوتاسيوم ) .قد يكون فرط كلس الدم  إذا ترافقت أعراضك مع حصيات بولية و ألام عظمية ( يجب إجراء عيار كلس المصل ) .و أخيراً قد يكون تخريش بولي سفلي نتيجة رمال بولية أو حصيات بولية   ( يجب إجراء إيكو جهاز بولي ) .,مرض السكري
1053,السلام عليكم .طلبت البارحة من والدي قياس نسبة السكر في الدم وذلك بعد الاكل بحوالي ساعتين لاتفاجا بالنسبة 1.32g/l بحثت ووجدت أن النسبة عادية بعد الاكل للعلم في العام الماضي كنت أجدها حوالي 0.89g/l اليوم في الصباح قبل الاكل أعدت القياس مرة أخرى انصدمت وجدتها 1.36g/l .للعلم عمري 25سنة,وعليكم السلام ورحمه الله وبركاته ٠ كل النسب الذى ذكرتيها هى سبب طبيعة,مرض السكري
1054,لقد قمت بفحص نسبه عمل البنكرياس وطلع لي طبيعي حسب ماخبرني به الدكتور المخبري ولكن نسبة السكر التراكمي طلعت 9.1 وانا في عمر ال20 ولي مع بداية المرض 3 سنوات,السلام عليكم ورحمة الله حول علاقة كفاءة البنكرياس، أو ما يسمى بـ C- Peptide،  مع السكر التراكمي، فليس له علاقة مباشرة، لأن المريض قد يكون مصاب بالسكر من النوع الثاني، أي أن السكر التراكمي عنده مرتفع ويكون تحليل C- Peptide وقتها مرتفعاً، لأن هذا التحليل يشير إلى هل يفرز البنكرياس الأنسولين أم لا. الغالب عند المرضى الذين يصابون بالسكر قبل عمر الـ 30، يكون السكر من النوع الأول ووقتها يكون الـ C- Peptide منخفض، إلا إذا كان المريض يأخذ جرعات الإنسولين فيكون وقتها تحليل C- Peptide طبيعياً أو مرتفعاً. فليس هناك علاقة مباشرة، والمهم الآن هو معرفة هل الإنسان مصاب من السكر النوع الأول أو الثاني، وبناء عليه يتحدد خطة العلاج. لذلك، أنصح بمتابعة طبيب السكر الخاص بكم، لتحديد هذه القصة ووصف الدواء المناسب لكم.,مرض السكري
1055,السلام عليكم منذ فترة اعاتي من دوخة وارهاق وضعف عام ومن تاتي الدوخة تتسارع نبضات القلب واعاني من تنميل في الراس والاطراف الايد والقدم قست مستوى السكر يترواح بين ال٧٠ و ال ٩٠ من اكل وجبة تزيد الدوخة عندي علماً اني لست مريض سكر وليس لدي تاريخ عائلي من مرض السكر ذهب للطبيب ووصف لي علاج ميتفورمين,تحاليل السكر عندك طبيعي ولاتحتاج الى ميتفورمين . ننصحك بالتبرع بالدم ربما هذا يساعدك . هناك من يشكو من أعراض نقص سكر بعد الطعام رغم أرقام سكر طبيعي ، ننصحك بتخفيف السكريات وكمية الطعام عموما وزيادة عدد الوجبات,مرض السكري
1056,"السلام عليكم
قبل شهرين قمت بإجراء فحوصات شاملة وكانت قيمة السكر التراكمي ٥.٢
منذ بداية رمضان قمت باتباع نظام صحي حيث اوقفت السكر الأبيض بكافة انواعه والخبز الابيض كذلك
اليوم قمت بإجراء فحوصات شاملة على صيام وتفاجأت بأن السكر ١٠٩ والسكر التراكمي ٦.٠٥
رغم أن الطبيب لم يُعلق على ذلك",لم تخبرنا هل زاد وزنك في رمضان أم نقص . لماذا تعمل تحاليل وتعيدها طالما بالأصل كانت طبيعية . اعلم أن التحليل ليس دائما صحيح 100% لذلك الطبيب هو من يطلبه عادة . أعد تحليل السكر الصباحي وتحليل السكر التراكمي بعد شهرين في مخبر آخر,مرض السكري
1057,اقوم بقياس نسبة السكر بعد صيام ١٢ ساعة فأجده يترواح بين ١٣٥ - ١٤٥ وانا اتناول يوميا glucophage ٢٠٠٠ ملغ ؛ Jardiance ٢٥ ملغ ؛ Januvia ١٠٠ ملغ ، وامارس المشي اليومي بمعدل نصف ساعة فهل يعتبر طبيعي,"المستوى الطبيعي لسكر الدم للشخص الصائم يكون أقل من 100 ملغم/ديسيليتر.
لم تكتب وحده القياس.
انا لست استشاري سكر و لكن استشاري جراحة غدد.
تحتاج تتابع مع استشاري باطنه تخصص غدد و سكري لأخذ التاريخ الطبي و عمل فحص اكلينيكي و من ثم التأكد من التحليل و التشخيص و على أساسه يراجع علاجك.
قدامك العافيه يارب",مرض السكري
1058,"العمر ٧٥
لا يعاني من اي اعراض مزمنة
على مدار سنة عدة تشنجات خفيفة جدآ ، تكون مصحوبة ب confusion يتحدث بغير وعي ؛ بأعطائه جلكوز يرجع للحالة الطبيعية","اخي الكريم
نتيجه التحاليل
تدل على الاصابه بالسكر
وليس نقص السكر
فالجلوكوز لا يفيد في حاله ارتفاع السكر وربما يضر به
الا اذا كان هناك هبوط وقت الحاله بسبب ادويه السكر
والهبوط يعني ان السكر اقل من ٧٠",مرض السكري
1059,سكر صايم ٧٠ و سكر بعد الاكل بساعتين ١٦٩ و سكر تراكمي ٦ هل انا مصابة بالسكر ؟ و هل احتاج لتناول الادوية ؟,"اختي الكريمه
انتي في مرحله ما قبل السكري
وليس تشخيص سكر
والخيار الامثل هوه الحميه الغذائيه وانقاص الوزن وممارسه الرياضه
ويفضل التواصل وزياره اخصائيه تغذيه
واعادة التحليل بعد ثلاثة اشهر
اما اذا لم يكن هناك امتثال للتعليمات سيطر طيبك الا اعطائك ادويه منظمه للسكر",مرض السكري
1060,"امي عمرها ٦١ تعاني من مرض السكر وتاخذ يوميا جرعتي انسولين صباحا تاخذ ٢٠ مل ومساءا تاخذ ١٠ مل
ولكن حدث اليوم خطأ فاخذت ٢٠ مل فما العمل",مراجعة الطوارىء ومراقبة السكري,مرض السكري
1061,اعاني من السكر منذ ٤ اعوام وكنت احافظ عليه بالاكل فقط ولكن في السنة الاخيرة لجأت الي طبيب ووصف لي علاج جليميزال ٣ملجم قبل الافطار وكنت منتظم عليه والحمد لله بخير الا ان بدات حالتي تسوء في هذا الشهر حيث اني اخذ الجرعة بالصباح وعند المساء كنت اعاني من اعراض ارتفاع السكر ارجو الافادة او وصف علاج,للسيطرة على سكر الدم لا بد من تنظيم و السيطرة على أربع عوامل مجتمعة معا و هي (الغذاء الصحي و المناسب + النشاط البدني المناسب + الدواء جرعة و توقيت + الراحة البدنية و النفسية ),مرض السكري
